 INFO  Accepting connections at http://localhost:3000
 HTTP  4/6/2026 10:34:59 pm ::1 GET /
 HTTP  4/6/2026 10:34:59 pm ::1 Returned 304 in 268 ms
 HTTP  4/6/2026 10:34:59 pm ::1 GET /assets/index-CGBpBnla.js
 HTTP  4/6/2026 10:34:59 pm ::1 GET /assets/index-CWk9nZvD.css
 HTTP  4/6/2026 10:34:59 pm ::1 Returned 304 in 35 ms
 HTTP  4/6/2026 10:34:59 pm ::1 Returned 304 in 802 ms
 HTTP  4/6/2026 10:35:00 pm ::1 GET /favicon.svg
 HTTP  4/6/2026 10:35:00 pm ::1 Returned 304 in 9 ms
 HTTP  4/6/2026 10:39:58 pm ::1 GET /
 HTTP  4/6/2026 10:39:58 pm ::1 Returned 304 in 791 ms
 HTTP  4/6/2026 10:40:01 pm ::1 GET /assets/index-CGBpBnla.js
 HTTP  4/6/2026 10:40:01 pm ::1 GET /assets/index-CWk9nZvD.css
 HTTP  4/6/2026 10:40:01 pm ::1 Returned 304 in 143 ms
 HTTP  4/6/2026 10:40:01 pm ::1 Returned 304 in 3528 ms
 HTTP  4/6/2026 10:40:07 pm ::1 GET /favicon.svg
 HTTP  4/6/2026 10:40:07 pm ::1 Returned 304 in 5348 ms
 HTTP  4/6/2026 10:40:19 pm 127.0.0.1 GET /
 HTTP  4/6/2026 10:40:19 pm 127.0.0.1 Returned 200 in 16845 ms
 HTTP  4/6/2026 10:40:48 pm ::1 GET /
 HTTP  4/6/2026 10:40:48 pm ::1 Returned 304 in 4755 ms
 HTTP  4/6/2026 10:40:55 pm ::1 GET /assets/index-CGBpBnla.js
 HTTP  4/6/2026 10:40:55 pm ::1 GET /assets/index-CWk9nZvD.css
 HTTP  4/6/2026 10:40:55 pm ::1 Returned 304 in 2374 ms
 HTTP  4/6/2026 10:40:55 pm ::1 Returned 304 in 2373 ms
